kvp_kv,filtration_inherent_mmal,filtration_added_mmal,filtration_added_mmcu,anode_angle_deg,hvl_mmal
70,2.5,0.0,0.0,9.0,2.492739019171323
70,2.5,0.0,0.1,9.0,3.929655554703737
70,2.5,0.0,0.4,9.0,6.074015681799391
70,2.5,1.0,0.0,9.0,2.9817152279933508
70,2.5,1.0,0.1,9.0,4.228891757676237
70,2.5,1.0,0.4,9.0,6.1947167768027045
71,2.5,0.0,0.0,9.0,2.5288287280104105
71,2.5,0.0,0.1,9.0,3.9876821284344683
71,2.5,0.0,0.4,9.0,6.165394023955766
71,2.5,1.0,0.0,9.0,3.024785661008631
71,2.5,1.0,0.1,9.0,4.291394900939639
71,2.5,1.0,0.4,9.0,6.287886941190197
72,2.5,0.0,0.0,9.0,2.5647638862813222
72,2.5,0.0,0.1,9.0,4.044980909699696
72,2.5,0.0,0.4,9.0,6.254367544471322
72,2.5,1.0,0.0,9.0,3.0675516496499937
72,2.5,1.0,0.1,9.0,4.353004044633584
72,2.5,1.0,0.4,9.0,6.3785253792961445
73,2.5,0.0,0.0,9.0,2.6005370925507187
73,2.5,0.0,0.1,9.0,4.1015608175081
73,2.5,0.0,0.4,9.0,6.34107189831471
73,2.5,1.0,0.0,9.0,3.110008635449041
73,2.5,1.0,0.1,9.0,4.413735788255452
73,2.5,1.0,0.4,9.0,6.4667821740387685
74,2.5,0.0,0.0,9.0,2.6361571703191267
74,2.5,0.0,0.1,9.0,4.157452869945239
74,2.5,0.0,0.4,9.0,6.425657681283482
74,2.5,1.0,0.0,9.0,3.1521710821270337
74,2.5,1.0,0.1,9.0,4.47362897831889
74,2.5,1.0,0.4,9.0,6.552820861900577
75,2.5,0.0,0.0,9.0,2.6716337758972375
75,2.5,0.0,0.1,9.0,4.2126898238021715
75,2.5,0.0,0.4,9.0,6.508289115037163
75,2.5,1.0,0.0,9.0,3.1940524664058234
75,2.5,1.0,0.1,9.0,4.532726512752273
75,2.5,1.0,0.4,9.0,6.636818424035107
76,2.5,0.0,0.0,9.0,2.709740401503514
76,2.5,0.0,0.1,9.0,4.27203262598649
76,2.5,0.0,0.4,9.0,6.595687288165627
76,2.5,1.0,0.0,9.0,3.2390758997297087
76,2.5,1.0,0.1,9.0,4.596165384306358
76,2.5,1.0,0.4,9.0,6.725511173448279
77,2.5,0.0,0.0,9.0,2.7476948329515105
77,2.5,0.0,0.1,9.0,4.330536904529466
77,2.5,0.0,0.4,9.0,6.680550839511522
77,2.5,1.0,0.0,9.0,3.283764636528053
77,2.5,1.0,0.1,9.0,4.658576569387768
77,2.5,1.0,0.4,9.0,6.811562956131677
78,2.5,0.0,0.0,9.0,2.7854977052765446
78,2.5,0.0,0.1,9.0,4.388248152859837
78,2.5,0.0,0.4,9.0,6.763104224254085
78,2.5,1.0,0.0,9.0,3.3281303531818724
78,2.5,1.0,0.1,9.0,4.720020539487667
78,2.5,1.0,0.4,9.0,6.895214894375448
79,2.5,0.0,0.0,9.0,2.823159532376857
79,2.5,0.0,0.1,9.0,4.445212164866441
79,2.5,0.0,0.4,9.0,6.8435527861615455
79,2.5,1.0,0.0,9.0,3.3721917571014925
79,2.5,1.0,0.1,9.0,4.780555988107462
79,2.5,1.0,0.4,9.0,6.976686629343183
80,2.5,0.0,0.0,9.0,2.8607058172831112
80,2.5,0.0,0.1,9.0,4.501480367620113
80,2.5,0.0,0.4,9.0,6.922076505439278
80,2.5,1.0,0.0,9.0,3.4159800089123293
80,2.5,1.0,0.1,9.0,4.840244379381431
80,2.5,1.0,0.4,9.0,7.056169699851776
81,2.5,0.0,0.0,9.0,2.9004080878253737
81,2.5,0.0,0.1,9.0,4.561105218393669
81,2.5,0.0,0.4,9.0,7.003672860236301
81,2.5,1.0,0.0,9.0,3.4623808649192904
81,2.5,1.0,0.1,9.0,4.9034341708895
81,2.5,1.0,0.4,9.0,7.1385946378170155
82,2.5,0.0,0.0,9.0,2.939940341618593
82,2.5,0.0,0.1,9.0,4.619840168961811
82,2.5,0.0,0.4,9.0,7.08291697185326
82,2.5,1.0,0.0,9.0,3.5084167264974644
82,2.5,1.0,0.1,9.0,4.965547439373911
82,2.5,1.0,0.4,9.0,7.218597125832857
83,2.5,0.0,0.0,9.0,2.979309307197059
83,2.5,0.0,0.1,9.0,4.677739771934439
83,2.5,0.0,0.4,9.0,7.160025310001594
83,2.5,1.0,0.0,9.0,3.5541048301790075
83,2.5,1.0,0.1,9.0,5.026654822827366
83,2.5,1.0,0.4,9.0,7.296404791639803
84,2.5,0.0,0.0,9.0,3.018521798018914
84,2.5,0.0,0.1,9.0,4.734854224212694
84,2.5,0.0,0.4,9.0,7.235189531056924
84,2.5,1.0,0.0,9.0,3.599462529108021
84,2.5,1.0,0.1,9.0,5.08682041851675
84,2.5,1.0,0.4,9.0,7.3722189771136994
85,2.5,0.0,0.0,9.0,3.0575892049705455
85,2.5,0.0,0.1,9.0,4.791228914091296
85,2.5,0.0,0.4,9.0,7.308572983439804
85,2.5,1.0,0.0,9.0,3.6445090550721884
85,2.5,1.0,0.1,9.0,5.146101178139147
85,2.5,1.0,0.4,9.0,7.446210959893606
86,2.5,0.0,0.0,9.0,3.0965195039947795
86,2.5,0.0,0.1,9.0,4.846910645303912
86,2.5,0.0,0.4,9.0,7.380330327233147
86,2.5,1.0,0.0,9.0,3.6892618047901786
86,2.5,1.0,0.1,9.0,5.204555789243866
86,2.5,1.0,0.4,9.0,7.518542053650085
87,2.5,0.0,0.0,9.0,3.1353284731562687
87,2.5,0.0,0.1,9.0,4.901938830129189
87,2.5,0.0,0.4,9.0,7.450582598673011
87,2.5,1.0,0.0,9.0,3.733742410833075
87,2.5,1.0,0.1,9.0,5.262231560692675
87,2.5,1.0,0.4,9.0,7.5893385946326095
88,2.5,0.0,0.0,9.0,3.1740196685569924
88,2.5,0.0,0.1,9.0,4.956351767575485
88,2.5,0.0,0.4,9.0,7.519456614201214
88,2.5,1.0,0.0,9.0,3.7779622739782126
88,2.5,1.0,0.1,9.0,5.3191775449480625
88,2.5,1.0,0.4,9.0,7.658732279950256
89,2.5,0.0,0.0,9.0,3.212608269726231
89,2.5,0.0,0.1,9.0,5.010184052000585
89,2.5,0.0,0.4,9.0,7.587053279905939
89,2.5,1.0,0.0,9.0,3.821941425267732
89,2.5,1.0,0.1,9.0,5.375434983414075
89,2.5,1.0,0.4,9.0,7.726828081977298
90,2.5,0.0,0.0,9.0,3.251098636348373
90,2.5,0.0,0.1,9.0,5.06346845946444
90,2.5,0.0,0.4,9.0,7.653465043060662
90,2.5,1.0,0.0,9.0,3.865691481268286
90,2.5,1.0,0.1,9.0,5.431044477706643
90,2.5,1.0,0.4,9.0,7.793721422096903
91,2.5,0.0,0.0,9.0,3.291615306815501
91,2.5,0.0,0.1,9.0,5.11941226166276
91,2.5,0.0,0.4,9.0,7.721358458981517
91,2.5,1.0,0.0,9.0,3.91177005905276
91,2.5,1.0,0.1,9.0,5.489317889918662
91,2.5,1.0,0.4,9.0,7.861942927475955
92,2.5,0.0,0.0,9.0,3.3319814281167335
